date,product,demand,price,is_weekend,is_promotion,day_of_week,month,quarter
2022-01-01,Product_A,124,29.99,1,0,5,1,1
2022-01-02,Product_A,142,29.99,1,0,6,1,1
2022-01-03,Product_A,189,29.99,0,0,0,1,1
2022-01-04,Product_A,121,29.99,0,0,1,1,1
2022-01-05,Product_A,83,29.99,0,0,2,1,1
2022-01-06,Product_A,67,29.99,0,0,3,1,1
2022-01-07,Product_A,68,29.99,0,0,4,1,1
2022-01-08,Product_A,125,29.99,1,0,5,1,1
2022-01-09,Product_A,146,29.99,1,1,6,1,1
2022-01-10,Product_A,117,29.99,0,0,0,1,1
2022-01-11,Product_A,110,29.99,0,0,1,1,1
2022-01-12,Product_A,87,29.99,0,0,2,1,1
2022-01-13,Product_A,82,29.99,0,0,3,1,1
2022-01-14,Product_A,68,29.99,0,0,4,1,1
2022-01-15,Product_A,171,29.99,1,0,5,1,1
2022-01-16,Product_A,194,29.99,1,0,6,1,1
2022-01-17,Product_A,119,29.99,0,0,0,1,1
2022-01-18,Product_A,110,29.99,0,0,1,1,1
2022-01-19,Product_A,124,29.99,0,0,2,1,1
2022-01-20,Product_A,72,29.99,0,0,3,1,1
2022-01-21,Product_A,92,29.99,0,1,4,1,1
2022-01-22,Product_A,135,29.99,1,0,5,1,1
2022-01-23,Product_A,153,29.99,1,1,6,1,1
2022-01-24,Product_A,145,29.99,0,0,0,1,1
2022-01-25,Product_A,128,29.99,0,0,1,1,1
2022-01-26,Product_A,108,29.99,0,0,2,1,1
2022-01-27,Product_A,82,29.99,0,0,3,1,1
2022-01-28,Product_A,99,29.99,0,0,4,1,1
2022-01-29,Product_A,129,29.99,1,0,5,1,1
2022-01-30,Product_A,149,29.99,1,0,6,1,1
2022-01-31,Product_A,152,29.99,0,1,0,1,1
2022-02-01,Product_A,117,29.99,0,0,1,2,1
2022-02-02,Product_A,105,29.99,0,0,2,2,1
2022-02-03,Product_A,83,29.99,0,0,3,2,1
2022-02-04,Product_A,79,29.99,0,0,4,2,1
2022-02-05,Product_A,126,29.99,1,0,5,2,1
2022-02-06,Product_A,154,29.99,1,0,6,2,1
2022-02-07,Product_A,137,29.99,0,0,0,2,1
2022-02-08,Product_A,122,29.99,0,0,1,2,1
2022-02-09,Product_A,102,29.99,0,0,2,2,1
2022-02-10,Product_A,63,29.99,0,1,3,2,1
2022-02-11,Product_A,88,29.99,0,0,4,2,1
2022-02-12,Product_A,130,29.99,1,0,5,2,1
2022-02-13,Product_A,158,29.99,1,0,6,2,1
2022-02-14,Product_A,153,29.99,0,0,0,2,1
2022-02-15,Product_A,133,29.99,0,0,1,2,1
2022-02-16,Product_A,137,29.99,0,0,2,2,1
2022-02-17,Product_A,105,29.99,0,0,3,2,1
2022-02-18,Product_A,90,29.99,0,1,4,2,1
2022-02-19,Product_A,128,29.99,1,0,5,2,1
2022-02-20,Product_A,146,29.99,1,0,6,2,1
2022-02-21,Product_A,148,29.99,0,0,0,2,1
2022-02-22,Product_A,119,29.99,0,0,1,2,1
2022-02-23,Product_A,98,29.99,0,0,2,2,1
2022-02-24,Product_A,87,29.99,0,0,3,2,1
2022-02-25,Product_A,135,29.99,0,0,4,2,1
2022-02-26,Product_A,137,29.99,1,0,5,2,1
2022-02-27,Product_A,166,29.99,1,0,6,2,1
2022-02-28,Product_A,147,29.99,0,1,0,2,1
2022-03-01,Product_A,132,29.99,0,0,1,3,1
2022-03-02,Product_A,137,29.99,0,0,2,3,1
2022-03-03,Product_A,79,29.99,0,0,3,3,1
2022-03-04,Product_A,80,29.99,0,0,4,3,1
2022-03-05,Product_A,142,29.99,1,0,5,3,1
2022-03-06,Product_A,169,29.99,1,0,6,3,1
2022-03-07,Product_A,195,29.99,0,0,0,3,1
2022-03-08,Product_A,121,29.99,0,0,1,3,1
2022-03-09,Product_A,95,29.99,0,0,2,3,1
2022-03-10,Product_A,88,29.99,0,0,3,3,1
2022-03-11,Product_A,108,29.99,0,0,4,3,1
2022-03-12,Product_A,126,29.99,1,0,5,3,1
2022-03-13,Product_A,165,29.99,1,0,6,3,1
2022-03-14,Product_A,151,29.99,0,0,0,3,1
2022-03-15,Product_A,130,29.99,0,0,1,3,1
2022-03-16,Product_A,100,29.99,0,0,2,3,1
2022-03-17,Product_A,97,29.99,0,0,3,3,1
2022-03-18,Product_A,85,29.99,0,0,4,3,1
2022-03-19,Product_A,139,29.99,1,0,5,3,1
2022-03-20,Product_A,165,29.99,1,0,6,3,1
2022-03-21,Product_A,153,29.99,0,0,0,3,1
2022-03-22,Product_A,136,29.99,0,0,1,3,1
2022-03-23,Product_A,110,29.99,0,0,2,3,1
2022-03-24,Product_A,95,29.99,0,0,3,3,1
2022-03-25,Product_A,106,29.99,0,0,4,3,1
2022-03-26,Product_A,131,29.99,1,1,5,3,1
2022-03-27,Product_A,160,29.99,1,0,6,3,1
2022-03-28,Product_A,201,29.99,0,1,0,3,1
2022-03-29,Product_A,116,29.99,0,0,1,3,1
2022-03-30,Product_A,107,29.99,0,0,2,3,1
2022-03-31,Product_A,79,29.99,0,1,3,3,1
2022-04-01,Product_A,96,29.99,0,0,4,4,2
2022-04-02,Product_A,133,29.99,1,0,5,4,2
2022-04-03,Product_A,142,29.99,1,0,6,4,2
2022-04-04,Product_A,150,29.99,0,1,0,4,2
2022-04-05,Product_A,137,29.99,0,0,1,4,2
2022-04-06,Product_A,115,29.99,0,0,2,4,2
2022-04-07,Product_A,108,29.99,0,0,3,4,2
2022-04-08,Product_A,100,29.99,0,0,4,4,2
2022-04-09,Product_A,161,29.99,1,0,5,4,2
2022-04-10,Product_A,173,29.99,1,0,6,4,2
2022-04-11,Product_A,153,29.99,0,1,0,4,2
2022-04-12,Product_A,140,29.99,0,0,1,4,2
2022-04-13,Product_A,104,29.99,0,0,2,4,2
2022-04-14,Product_A,78,29.99,0,1,3,4,2
2022-04-15,Product_A,110,29.99,0,0,4,4,2
2022-04-16,Product_A,125,29.99,1,0,5,4,2
2022-04-17,Product_A,214,29.99,1,0,6,4,2
2022-04-18,Product_A,143,29.99,0,0,0,4,2
2022-04-19,Product_A,148,29.99,0,0,1,4,2
2022-04-20,Product_A,94,29.99,0,0,2,4,2
2022-04-21,Product_A,121,29.99,0,0,3,4,2
2022-04-22,Product_A,90,29.99,0,1,4,4,2
2022-04-23,Product_A,133,29.99,1,0,5,4,2
2022-04-24,Product_A,171,29.99,1,0,6,4,2
2022-04-25,Product_A,156,29.99,0,0,0,4,2
2022-04-26,Product_A,138,29.99,0,0,1,4,2
2022-04-27,Product_A,106,29.99,0,0,2,4,2
2022-04-28,Product_A,91,29.99,0,0,3,4,2
2022-04-29,Product_A,93,29.99,0,0,4,4,2
2022-04-30,Product_A,150,29.99,1,0,5,4,2
2022-05-01,Product_A,175,29.99,1,0,6,5,2
2022-05-02,Product_A,148,29.99,0,1,0,5,2
2022-05-03,Product_A,135,29.99,0,0,1,5,2
2022-05-04,Product_A,104,29.99,0,0,2,5,2
2022-05-05,Product_A,79,29.99,0,0,3,5,2
2022-05-06,Product_A,83,29.99,0,0,4,5,2
2022-05-07,Product_A,180,29.99,1,0,5,5,2
2022-05-08,Product_A,153,29.99,1,0,6,5,2
2022-05-09,Product_A,139,29.99,0,0,0,5,2
2022-05-10,Product_A,128,29.99,0,0,1,5,2
2022-05-11,Product_A,140,29.99,0,0,2,5,2
2022-05-12,Product_A,83,29.99,0,1,3,5,2
2022-05-13,Product_A,80,29.99,0,0,4,5,2
2022-05-14,Product_A,123,29.99,1,0,5,5,2
2022-05-15,Product_A,154,29.99,1,0,6,5,2
2022-05-16,Product_A,144,29.99,0,0,0,5,2
2022-05-17,Product_A,169,29.99,0,0,1,5,2
2022-05-18,Product_A,122,29.99,0,0,2,5,2
2022-05-19,Product_A,91,29.99,0,0,3,5,2
2022-05-20,Product_A,85,29.99,0,0,4,5,2
2022-05-21,Product_A,143,29.99,1,0,5,5,2
2022-05-22,Product_A,203,29.99,1,0,6,5,2
2022-05-23,Product_A,192,29.99,0,0,0,5,2
2022-05-24,Product_A,129,29.99,0,0,1,5,2
2022-05-25,Product_A,117,29.99,0,0,2,5,2
2022-05-26,Product_A,96,29.99,0,0,3,5,2
2022-05-27,Product_A,114,29.99,0,0,4,5,2
2022-05-28,Product_A,127,29.99,1,0,5,5,2
2022-05-29,Product_A,151,29.99,1,0,6,5,2
2022-05-30,Product_A,146,29.99,0,0,0,5,2
2022-05-31,Product_A,137,29.99,0,0,1,5,2
2022-06-01,Product_A,96,29.99,0,0,2,6,2
2022-06-02,Product_A,72,29.99,0,0,3,6,2
2022-06-03,Product_A,142,29.99,0,1,4,6,2
2022-06-04,Product_A,146,29.99,1,0,5,6,2
2022-06-05,Product_A,153,29.99,1,0,6,6,2
2022-06-06,Product_A,142,29.99,0,0,0,6,2
2022-06-07,Product_A,181,29.99,0,0,1,6,2
2022-06-08,Product_A,101,29.99,0,0,2,6,2
2022-06-09,Product_A,85,29.99,0,0,3,6,2
2022-06-10,Product_A,79,29.99,0,0,4,6,2
2022-06-11,Product_A,132,29.99,1,0,5,6,2
2022-06-12,Product_A,141,29.99,1,0,6,6,2
2022-06-13,Product_A,155,29.99,0,0,0,6,2
2022-06-14,Product_A,137,29.99,0,0,1,6,2
2022-06-15,Product_A,100,29.99,0,0,2,6,2
2022-06-16,Product_A,89,29.99,0,0,3,6,2
2022-06-17,Product_A,102,29.99,0,1,4,6,2
2022-06-18,Product_A,142,29.99,1,0,5,6,2
2022-06-19,Product_A,137,29.99,1,0,6,6,2
2022-06-20,Product_A,155,29.99,0,0,0,6,2
2022-06-21,Product_A,125,29.99,0,0,1,6,2
2022-06-22,Product_A,81,29.99,0,0,2,6,2
2022-06-23,Product_A,81,29.99,0,0,3,6,2
2022-06-24,Product_A,96,29.99,0,0,4,6,2
2022-06-25,Product_A,137,29.99,1,0,5,6,2
2022-06-26,Product_A,157,29.99,1,0,6,6,2
2022-06-27,Product_A,130,29.99,0,0,0,6,2
2022-06-28,Product_A,113,29.99,0,1,1,6,2
2022-06-29,Product_A,101,29.99,0,0,2,6,2
2022-06-30,Product_A,79,29.99,0,0,3,6,2
2022-07-01,Product_A,75,29.99,0,0,4,7,3
2022-07-02,Product_A,122,29.99,1,0,5,7,3
2022-07-03,Product_A,201,29.99,1,0,6,7,3
2022-07-04,Product_A,144,29.99,0,0,0,7,3
2022-07-05,Product_A,129,29.99,0,0,1,7,3
2022-07-06,Product_A,80,29.99,0,0,2,7,3
2022-07-07,Product_A,120,29.99,0,0,3,7,3
2022-07-08,Product_A,90,29.99,0,0,4,7,3
2022-07-09,Product_A,130,29.99,1,0,5,7,3
2022-07-10,Product_A,134,29.99,1,0,6,7,3
2022-07-11,Product_A,180,29.99,0,0,0,7,3
2022-07-12,Product_A,113,29.99,0,0,1,7,3
2022-07-13,Product_A,83,29.99,0,0,2,7,3
2022-07-14,Product_A,100,29.99,0,0,3,7,3
2022-07-15,Product_A,97,29.99,0,0,4,7,3
2022-07-16,Product_A,115,29.99,1,0,5,7,3
2022-07-17,Product_A,147,29.99,1,0,6,7,3
2022-07-18,Product_A,121,29.99,0,0,0,7,3
2022-07-19,Product_A,124,29.99,0,0,1,7,3
2022-07-20,Product_A,86,29.99,0,0,2,7,3
2022-07-21,Product_A,87,29.99,0,0,3,7,3
2022-07-22,Product_A,84,29.99,0,0,4,7,3
2022-07-23,Product_A,124,29.99,1,0,5,7,3
2022-07-24,Product_A,142,29.99,1,0,6,7,3
