date,product,demand,price,is_weekend,is_promotion,day_of_week,month,day_of_month,quarter
01-01-2022,Fashion,124,29.99,1,0,5,1,1,1
02-01-2022,Fashion,142,29.99,1,0,6,1,2,1
03-01-2022,Fashion,165,29.99,0,1,0,1,3,1
04-01-2022,Fashion,111,29.99,0,0,1,1,4,1
05-01-2022,Fashion,135,29.99,0,1,2,1,5,1
06-01-2022,Fashion,79,29.99,0,0,3,1,6,1
07-01-2022,Fashion,73,29.99,0,0,4,1,7,1
08-01-2022,Fashion,127,29.99,1,0,5,1,8,1
09-01-2022,Fashion,148,29.99,1,0,6,1,9,1
10-01-2022,Fashion,112,29.99,0,0,0,1,10,1
11-01-2022,Fashion,105,29.99,0,0,1,1,11,1
12-01-2022,Fashion,93,29.99,0,0,2,1,12,1
13-01-2022,Fashion,89,29.99,0,0,3,1,13,1
14-01-2022,Fashion,78,29.99,0,0,4,1,14,1
15-01-2022,Fashion,118,29.99,1,0,5,1,15,1
16-01-2022,Fashion,149,29.99,1,0,6,1,16,1
17-01-2022,Fashion,128,29.99,0,0,0,1,17,1
18-01-2022,Fashion,115,29.99,0,0,1,1,18,1
19-01-2022,Fashion,120,29.99,0,1,2,1,19,1
20-01-2022,Fashion,65,29.99,0,0,3,1,20,1
21-01-2022,Fashion,90,29.99,0,0,4,1,21,1
22-01-2022,Fashion,114,29.99,1,0,5,1,22,1
23-01-2022,Fashion,136,29.99,1,0,6,1,23,1
24-01-2022,Fashion,138,29.99,0,0,0,1,24,1
25-01-2022,Fashion,165,29.99,0,1,1,1,25,1
26-01-2022,Fashion,96,29.99,0,0,2,1,26,1
27-01-2022,Fashion,77,29.99,0,0,3,1,27,1
28-01-2022,Fashion,81,29.99,0,0,4,1,28,1
29-01-2022,Fashion,123,29.99,1,0,5,1,29,1
30-01-2022,Fashion,162,29.99,1,0,6,1,30,1
31-01-2022,Fashion,183,29.99,0,1,0,1,31,1
01-02-2022,Fashion,118,29.99,0,0,1,2,1,1
02-02-2022,Fashion,116,29.99,0,1,2,2,2,1
03-02-2022,Fashion,86,29.99,0,0,3,2,3,1
04-02-2022,Fashion,96,29.99,0,0,4,2,4,1
05-02-2022,Fashion,181,29.99,1,1,5,2,5,1
06-02-2022,Fashion,145,29.99,1,0,6,2,6,1
07-02-2022,Fashion,136,29.99,0,0,0,2,7,1
08-02-2022,Fashion,119,29.99,0,0,1,2,8,1
09-02-2022,Fashion,96,29.99,0,0,2,2,9,1
10-02-2022,Fashion,90,29.99,0,0,3,2,10,1
11-02-2022,Fashion,101,29.99,0,0,4,2,11,1
12-02-2022,Fashion,135,29.99,1,0,5,2,12,1
13-02-2022,Fashion,149,29.99,1,0,6,2,13,1
14-02-2022,Fashion,141,29.99,0,0,0,2,14,1
15-02-2022,Fashion,141,29.99,0,0,1,2,15,1
16-02-2022,Fashion,100,29.99,0,0,2,2,16,1
17-02-2022,Fashion,80,29.99,0,0,3,2,17,1
18-02-2022,Fashion,87,29.99,0,0,4,2,18,1
19-02-2022,Fashion,137,29.99,1,0,5,2,19,1
